city,number_of_bedrooms,number_of_bathrooms,furnished,power_supply_hours,security_level,estate_type,proximity_to_road,parking_space,monthly_rent
Abuja,3,2,No,16,Low,Estate,Near,Yes,1010000
Benin,3,2,No,0,Low,Estate,Near,No,240000
Abuja,3,3,No,12,Medium,Non-Estate,Near,Yes,875000
Lagos,1,1,No,4,High,Non-Estate,Near,No,275000
Lagos,4,2,No,24,High,Non-Estate,Near,Yes,1070000
Ibadan,2,1,No,20,Medium,Non-Estate,Far,Yes,305000
Port Harcourt,3,2,Yes,0,Medium,Non-Estate,Near,Yes,435000
Lagos,2,1,No,20,Low,Estate,Near,No,610000
Lagos,2,1,No,20,High,Estate,Near,No,850000
Ibadan,3,3,Yes,8,High,Estate,Far,No,530000
Lagos,2,1,No,16,Medium,Non-Estate,Far,Yes,555000
Ibadan,2,1,Yes,12,Medium,Non-Estate,Far,Yes,325000
Ibadan,2,1,Yes,16,High,Estate,Near,Yes,475000
Lagos,2,1,Yes,8,High,Estate,Near,No,750000
Lagos,3,3,No,8,Medium,Non-Estate,Near,No,595000
Ilorin,4,2,No,12,Medium,Estate,Near,No,355000
Abuja,1,1,Yes,4,Medium,Non-Estate,Near,No,365000
Abuja,2,1,Yes,16,Medium,Non-Estate,Far,No,705000
Ibadan,1,1,Yes,8,Medium,Non-Estate,Near,No,185000
Benin,1,1,No,12,Medium,Estate,Far,Yes,145000
Ilorin,3,2,Yes,20,Medium,Non-Estate,Near,No,340000
Ibadan,3,2,No,12,Medium,Estate,Far,No,335000
Abuja,2,1,Yes,12,Medium,Non-Estate,Near,Yes,725000
Lagos,2,1,No,24,Medium,Estate,Far,No,665000
Ibadan,1,1,Yes,20,High,Non-Estate,Near,Yes,320000
Port Harcourt,4,3,No,4,Medium,Non-Estate,Far,Yes,460000
Abuja,5,3,Yes,12,Low,Estate,Near,No,1510000
Benin,1,1,Yes,24,Medium,Non-Estate,Near,Yes,275000
Lagos,2,2,No,8,High,Non-Estate,Near,Yes,515000
Abuja,4,4,No,8,High,Estate,Near,No,1185000
Lagos,4,3,No,4,Medium,Estate,Far,Yes,745000
Abuja,2,1,No,4,High,Non-Estate,Far,Yes,530000
Lagos,1,1,No,16,Low,Non-Estate,Far,No,350000
Lagos,1,1,No,16,High,Non-Estate,Far,Yes,370000
Lagos,3,2,Yes,24,Low,Non-Estate,Near,Yes,1160000
Port Harcourt,2,1,No,16,Low,Non-Estate,Far,Yes,420000
Ibadan,1,1,No,8,Medium,Non-Estate,Near,Yes,180000
Port Harcourt,3,2,No,0,Medium,Non-Estate,Far,Yes,345000
Ilorin,1,1,No,24,Medium,Estate,Near,No,190000
Abuja,3,2,Yes,8,High,Non-Estate,Far,Yes,915000
Lagos,2,2,Yes,8,High,Estate,Near,Yes,840000
Benin,1,1,No,20,Medium,Estate,Near,No,225000
Lagos,3,3,No,12,Medium,Non-Estate,Near,No,770000
Ilorin,2,1,Yes,8,Low,Non-Estate,Near,Yes,180000
Lagos,5,4,No,20,Low,Estate,Near,Yes,1600000
Ilorin,3,2,No,24,Medium,Estate,Near,No,290000
Lagos,2,2,Yes,4,Low,Non-Estate,Far,No,395000
Benin,3,2,No,20,Medium,Non-Estate,Near,No,335000
Abuja,2,1,No,8,Medium,Non-Estate,Far,Yes,495000
Ilorin,4,3,No,12,Low,Non-Estate,Near,Yes,255000
Lagos,2,1,No,20,Medium,Estate,Near,Yes,680000
Port Harcourt,3,2,No,24,Low,Estate,Near,No,645000
Ilorin,1,1,No,8,Medium,Estate,Near,No,125000
Abuja,2,1,No,8,High,Estate,Near,Yes,740000
Port Harcourt,4,3,No,4,Medium,Non-Estate,Near,Yes,600000
Port Harcourt,4,2,No,12,Low,Estate,Near,No,660000
Abuja,2,1,No,0,Medium,Estate,Far,Yes,485000
Port Harcourt,2,1,No,12,Low,Non-Estate,Near,Yes,395000
Port Harcourt,4,3,Yes,4,Medium,Non-Estate,Near,No,735000
Benin,4,3,Yes,12,Medium,Non-Estate,Far,Yes,460000
Lagos,1,1,Yes,0,Medium,Non-Estate,Far,Yes,335000
Lagos,2,2,Yes,16,High,Estate,Near,Yes,1055000
Ilorin,2,1,No,8,Medium,Non-Estate,Far,No,135000
Benin,4,4,No,8,Low,Estate,Far,Yes,350000
Abuja,1,1,No,20,Medium,Non-Estate,Near,No,495000
Port Harcourt,2,1,No,16,High,Non-Estate,Near,Yes,510000
Lagos,3,2,No,8,Low,Non-Estate,Far,No,530000
Lagos,1,1,No,4,Medium,Non-Estate,Near,Yes,275000
Abuja,2,2,No,16,Medium,Non-Estate,Near,Yes,655000
Abuja,2,1,No,8,Medium,Non-Estate,Near,No,495000
Port Harcourt,2,1,No,16,High,Estate,Far,Yes,585000
Lagos,2,2,No,12,Medium,Non-Estate,Far,No,505000
Ilorin,3,2,Yes,8,Medium,Estate,Far,Yes,245000
Ilorin,2,1,No,12,High,Non-Estate,Far,Yes,165000
Port Harcourt,3,2,No,16,Medium,Estate,Near,Yes,590000
Abuja,4,4,Yes,20,Medium,Estate,Near,No,1495000
Abuja,3,2,No,0,Medium,Non-Estate,Far,Yes,460000
Ibadan,2,1,Yes,12,Medium,Estate,Far,No,350000
Port Harcourt,1,1,Yes,0,High,Non-Estate,Near,Yes,325000
Lagos,2,2,No,12,Medium,Estate,Near,Yes,590000
Benin,2,1,No,20,Medium,Non-Estate,Near,Yes,260000
Ibadan,2,1,No,8,High,Non-Estate,Near,Yes,280000
Benin,3,3,No,20,Medium,Non-Estate,Near,Yes,425000
Ibadan,1,1,No,12,Low,Estate,Near,No,215000
Port Harcourt,1,1,No,20,Medium,Estate,Far,Yes,320000
Abuja,2,2,No,16,High,Non-Estate,Near,Yes,705000
Benin,3,2,No,4,High,Estate,Far,No,235000
Benin,2,1,Yes,8,Medium,Estate,Near,Yes,285000
Lagos,3,3,No,8,Low,Non-Estate,Near,Yes,660000
Lagos,2,2,No,4,High,Non-Estate,Near,Yes,460000
Abuja,4,2,No,12,Medium,Estate,Far,Yes,1105000
Ibadan,4,2,No,12,High,Estate,Near,Yes,550000
Ilorin,2,2,No,24,Medium,Estate,Far,Yes,290000
Lagos,2,1,No,12,Low,Non-Estate,Far,Yes,370000
Port Harcourt,2,1,No,16,Medium,Estate,Near,No,420000
Abuja,2,1,Yes,20,Medium,Non-Estate,Near,No,760000
Ilorin,3,2,No,20,Medium,Estate,Far,No,240000
Ibadan,4,3,No,8,High,Estate,Near,Yes,580000
Ibadan,3,2,No,12,Medium,Non-Estate,Near,Yes,300000
Abuja,4,3,No,8,High,Estate,Near,Yes,1275000
Abuja,2,1,Yes,8,Medium,Non-Estate,Near,Yes,550000
Lagos,2,1,No,8,High,Non-Estate,Far,Yes,435000
Lagos,3,3,No,16,High,Estate,Near,Yes,1155000
Benin,2,1,Yes,12,Medium,Non-Estate,Near,Yes,300000
Ibadan,3,2,Yes,12,Medium,Estate,Near,No,465000
Ilorin,2,1,Yes,24,Medium,Estate,Far,Yes,335000
Ilorin,1,1,No,4,Medium,Estate,Far,No,105000
Port Harcourt,5,4,No,12,Medium,Non-Estate,Far,No,755000
Ibadan,2,2,No,16,High,Estate,Far,Yes,400000
Benin,5,4,No,4,High,Non-Estate,Near,Yes,405000
Ibadan,5,4,No,12,Medium,Non-Estate,Near,No,500000
Lagos,3,2,Yes,8,Medium,Estate,Near,No,875000
Abuja,3,2,No,20,Medium,Non-Estate,Far,Yes,830000
Lagos,3,2,No,8,Medium,Non-Estate,Far,Yes,500000
Ilorin,4,2,No,8,Medium,Non-Estate,Far,Yes,205000
Port Harcourt,2,1,No,12,High,Non-Estate,Far,Yes,455000
Lagos,2,1,No,4,Medium,Non-Estate,Near,No,395000
Port Harcourt,3,3,No,8,Low,Estate,Near,Yes,555000
Port Harcourt,2,1,No,12,High,Non-Estate,Near,Yes,505000
Abuja,2,1,No,8,Medium,Non-Estate,Near,Yes,495000
Lagos,2,2,Yes,12,High,Non-Estate,Near,No,770000
Port Harcourt,3,2,No,12,Low,Non-Estate,Near,No,550000
Abuja,4,4,No,12,Low,Non-Estate,Near,No,1070000
Ibadan,2,2,Yes,16,High,Non-Estate,Far,No,380000
Abuja,4,4,Yes,8,Low,Non-Estate,Near,No,1150000
Benin,3,2,Yes,4,High,Estate,Near,No,355000
Port Harcourt,4,3,No,16,High,Non-Estate,Near,Yes,925000
Port Harcourt,3,2,No,20,Medium,Estate,Near,Yes,695000
Benin,3,3,No,8,Low,Non-Estate,Far,No,230000
Abuja,1,1,Yes,12,Medium,Estate,Near,Yes,540000
Lagos,4,2,No,12,High,Estate,Far,No,820000
Lagos,1,1,No,12,Medium,Estate,Near,Yes,425000
Ibadan,4,3,Yes,16,Medium,Non-Estate,Near,No,655000
Port Harcourt,5,4,No,0,Medium,Estate,Near,Yes,610000
Ibadan,2,2,No,16,Low,Non-Estate,Near,Yes,260000
Lagos,2,1,Yes,4,High,Estate,Near,No,610000
Lagos,3,2,No,12,High,Non-Estate,Far,Yes,750000
Lagos,2,2,No,16,High,Estate,Near,No,660000
Abuja,4,3,Yes,12,Medium,Estate,Near,Yes,1250000
Port Harcourt,1,1,Yes,4,High,Non-Estate,Near,No,315000
Abuja,1,1,Yes,24,Low,Non-Estate,Near,No,665000
Abuja,5,3,Yes,20,Medium,Estate,Far,Yes,1625000
Benin,3,3,No,16,Medium,Non-Estate,Far,No,285000
Abuja,4,2,No,12,High,Non-Estate,Near,Yes,1125000
Abuja,2,1,Yes,4,High,Estate,Near,Yes,660000
Ibadan,3,2,No,20,High,Estate,Near,No,480000
Abuja,3,2,No,12,High,Non-Estate,Far,No,790000
Port Harcourt,3,3,Yes,20,High,Estate,Near,Yes,1295000
Benin,3,2,Yes,8,Low,Non-Estate,Far,Yes,270000
Benin,3,2,No,8,High,Non-Estate,Near,No,285000
Lagos,2,1,No,24,Medium,Non-Estate,Far,Yes,580000
Benin,2,2,Yes,12,Medium,Non-Estate,Near,No,305000
Abuja,3,3,Yes,4,Low,Non-Estate,Near,No,655000
Lagos,2,2,No,8,Medium,Estate,Far,Yes,520000
Abuja,3,3,No,12,Medium,Non-Estate,Far,Yes,845000
Ilorin,2,1,Yes,0,Medium,Non-Estate,Far,Yes,160000
Abuja,3,2,No,12,Medium,Estate,Far,No,830000
Abuja,3,2,No,12,High,Non-Estate,Far,No,750000
Port Harcourt,2,1,No,16,High,Estate,Near,No,530000
Lagos,1,1,No,8,Medium,Estate,Far,Yes,330000
Lagos,1,1,No,24,Medium,Non-Estate,Far,No,425000
Lagos,3,3,No,4,Low,Non-Estate,Near,Yes,590000
Lagos,4,3,No,12,Medium,Non-Estate,Far,No,850000
Lagos,1,1,No,4,Low,Estate,Near,Yes,310000
Lagos,3,2,No,16,High,Non-Estate,Near,No,865000
Port Harcourt,2,2,No,24,Medium,Estate,Far,No,630000
Lagos,2,2,Yes,16,Low,Non-Estate,Near,Yes,785000
Abuja,4,4,Yes,12,Medium,Non-Estate,Near,No,1350000
Benin,2,1,No,12,Medium,Non-Estate,Near,Yes,220000
Abuja,2,2,Yes,16,Medium,Non-Estate,Near,Yes,845000
Port Harcourt,1,1,No,20,Low,Non-Estate,Near,Yes,300000
Lagos,1,1,No,24,High,Non-Estate,Far,No,420000
Lagos,2,2,No,8,Medium,Non-Estate,Far,No,420000
Lagos,1,1,No,24,Low,Non-Estate,Far,No,355000
Lagos,3,3,Yes,4,Low,Non-Estate,Near,No,670000
Lagos,2,1,No,8,Medium,Non-Estate,Far,Yes,430000
Lagos,3,2,No,4,Low,Non-Estate,Far,Yes,480000
Lagos,2,2,No,8,Low,Estate,Near,Yes,450000
Lagos,2,1,No,16,Medium,Estate,Far,No,480000
Abuja,3,3,Yes,20,Medium,Non-Estate,Far,No,965000
Lagos,5,3,No,16,Low,Non-Estate,Near,Yes,970000
Abuja,1,1,No,12,Medium,Non-Estate,Near,No,450000
Abuja,4,3,Yes,12,Medium,Estate,Far,No,1215000
Port Harcourt,3,2,No,16,Low,Estate,Near,Yes,610000
Lagos,3,2,No,8,Medium,Non-Estate,Far,Yes,490000
Ibadan,3,2,Yes,16,Low,Non-Estate,Near,No,450000
Port Harcourt,1,1,Yes,16,Low,Estate,Near,Yes,455000
Lagos,1,1,No,16,Medium,Non-Estate,Far,No,315000
Benin,3,2,No,12,Low,Non-Estate,Near,Yes,310000
Benin,2,1,No,20,Low,Estate,Far,Yes,280000
Lagos,4,3,No,8,Medium,Estate,Near,Yes,835000
Lagos,2,2,No,8,High,Estate,Near,No,595000
Ibadan,1,1,No,16,Medium,Estate,Near,Yes,230000
Ibadan,3,2,No,12,High,Non-Estate,Near,No,360000
Lagos,2,2,No,20,High,Estate,Near,Yes,920000
Lagos,3,2,Yes,8,High,Estate,Far,Yes,820000
Abuja,3,2,No,8,High,Non-Estate,Far,No,685000
Abuja,4,3,No,20,Medium,Non-Estate,Far,Yes,1090000
Port Harcourt,3,2,Yes,12,Medium,Non-Estate,Near,No,640000
Abuja,3,3,No,12,Low,Estate,Far,Yes,930000
Abuja,3,3,No,8,Medium,Non-Estate,Far,No,600000
Ibadan,4,3,No,8,High,Non-Estate,Near,No,390000
Lagos,2,2,No,16,Medium,Non-Estate,Near,No,575000
Lagos,1,1,No,4,Medium,Non-Estate,Near,Yes,260000
Ibadan,2,1,No,20,Medium,Non-Estate,Near,No,255000
Benin,2,1,Yes,16,Medium,Non-Estate,Far,Yes,265000
Abuja,3,2,Yes,4,Medium,Non-Estate,Near,Yes,710000
Abuja,3,3,No,16,Medium,Estate,Far,Yes,930000
Lagos,3,3,No,12,Medium,Estate,Near,Yes,770000
Abuja,1,1,Yes,4,Medium,Estate,Near,No,395000
Abuja,3,2,Yes,8,High,Estate,Near,No,1110000
Lagos,2,1,No,12,High,Estate,Far,Yes,515000
Lagos,3,2,No,16,Low,Non-Estate,Near,No,770000
Abuja,3,2,No,12,High,Estate,Far,Yes,895000
Lagos,2,1,No,12,Medium,Non-Estate,Near,No,500000
Abuja,1,1,No,16,Medium,Non-Estate,Far,No,435000
Lagos,1,1,Yes,16,Medium,Estate,Far,No,470000
Abuja,4,2,No,12,Medium,Non-Estate,Far,Yes,935000
Lagos,4,2,Yes,16,Low,Estate,Near,No,1295000
Benin,3,3,No,8,Medium,Non-Estate,Near,Yes,255000
Port Harcourt,1,1,No,20,Medium,Non-Estate,Near,No,380000
Port Harcourt,2,1,Yes,12,Medium,Estate,Far,Yes,450000
Ibadan,3,2,No,16,Medium,Non-Estate,Near,No,335000
Abuja,3,2,No,12,Medium,Non-Estate,Near,Yes,840000
Lagos,1,1,Yes,8,Medium,Estate,Near,No,405000
Abuja,1,1,No,12,High,Non-Estate,Near,No,475000
Port Harcourt,3,2,No,8,Medium,Non-Estate,Far,No,475000
Ibadan,2,2,No,16,Low,Estate,Far,No,330000
Abuja,2,2,No,12,Medium,Non-Estate,Near,No,575000
Lagos,1,1,Yes,16,Medium,Estate,Far,No,575000
Lagos,3,3,No,16,Medium,Non-Estate,Far,Yes,715000
Abuja,4,3,Yes,16,Low,Estate,Near,No,1320000
Port Harcourt,5,3,No,8,Medium,Non-Estate,Far,Yes,690000
Port Harcourt,3,3,No,24,High,Non-Estate,Far,No,790000
Abuja,3,2,Yes,16,Medium,Estate,Near,No,1150000
Ilorin,1,1,Yes,16,Medium,Estate,Far,Yes,185000
Port Harcourt,3,3,No,8,High,Estate,Near,No,635000
Lagos,2,1,No,12,High,Non-Estate,Near,No,545000
Lagos,3,2,Yes,4,Medium,Estate,Far,Yes,820000
Lagos,2,1,No,12,Medium,Non-Estate,Far,Yes,460000
Lagos,2,1,Yes,4,High,Non-Estate,Far,Yes,485000
Lagos,1,1,Yes,12,Medium,Non-Estate,Near,No,460000
Lagos,2,2,No,12,Low,Estate,Far,Yes,515000
Lagos,1,1,Yes,8,Medium,Estate,Near,No,485000
Lagos,2,2,No,12,Medium,Non-Estate,Near,Yes,460000
Benin,5,4,No,20,High,Non-Estate,Near,Yes,615000
Lagos,2,2,No,4,Low,Non-Estate,Near,No,340000
Abuja,3,2,No,16,Low,Non-Estate,Near,Yes,710000
Abuja,4,3,No,4,High,Estate,Far,No,975000
Ilorin,5,4,No,0,High,Non-Estate,Far,Yes,270000
Lagos,3,3,No,4,Medium,Estate,Far,Yes,685000
Abuja,4,4,No,16,Medium,Non-Estate,Far,Yes,1095000
Ilorin,2,1,No,12,Medium,Non-Estate,Near,No,150000
Benin,2,1,Yes,20,Medium,Estate,Far,Yes,360000
Ibadan,2,2,No,12,High,Non-Estate,Far,Yes,300000
Lagos,3,2,No,0,Low,Non-Estate,Near,Yes,490000
Lagos,3,3,No,16,Low,Non-Estate,Far,Yes,730000
Port Harcourt,2,1,No,4,Low,Estate,Near,No,295000
Benin,1,1,No,16,Medium,Estate,Near,No,195000
Port Harcourt,3,3,No,4,Low,Estate,Near,Yes,490000
Port Harcourt,1,1,Yes,8,Low,Estate,Far,Yes,325000
Lagos,3,2,No,16,High,Non-Estate,Far,No,845000
Ibadan,3,2,Yes,24,Low,Non-Estate,Near,Yes,515000
Lagos,3,3,No,8,High,Estate,Near,Yes,885000
Abuja,3,2,No,16,Medium,Non-Estate,Far,Yes,755000
Abuja,4,4,Yes,4,Medium,Non-Estate,Far,Yes,870000
Abuja,2,1,Yes,16,Low,Estate,Near,Yes,840000
Lagos,3,2,No,16,Low,Estate,Near,Yes,840000
Lagos,3,3,Yes,4,Medium,Estate,Far,Yes,750000
Port Harcourt,2,1,Yes,8,Medium,Non-Estate,Near,Yes,430000
Lagos,1,1,No,4,High,Non-Estate,Near,No,345000
Port Harcourt,2,1,Yes,8,High,Non-Estate,Near,No,415000
Lagos,2,1,No,8,Medium,Estate,Far,No,425000
Abuja,3,2,No,12,Medium,Non-Estate,Far,No,745000
Abuja,4,4,Yes,24,High,Estate,Near,Yes,2570000
Lagos,2,2,No,0,Medium,Non-Estate,Near,Yes,360000
Abuja,1,1,No,12,High,Non-Estate,Near,No,500000
Lagos,5,3,No,12,High,Estate,Near,Yes,1235000
Lagos,1,1,No,20,Low,Non-Estate,Near,Yes,375000
Ilorin,2,1,No,12,Medium,Non-Estate,Near,Yes,185000
Abuja,3,2,No,12,Medium,Non-Estate,Near,Yes,865000
Ibadan,3,3,Yes,12,Medium,Estate,Near,No,465000
Lagos,1,1,Yes,8,Medium,Non-Estate,Far,No,310000
Port Harcourt,1,1,No,4,High,Non-Estate,Far,No,205000
Ibadan,1,1,Yes,12,Medium,Non-Estate,Near,No,205000
Port Harcourt,3,2,No,4,Low,Estate,Near,Yes,510000
Abuja,3,2,No,12,Low,Non-Estate,Near,No,705000
Abuja,2,1,Yes,8,Medium,Estate,Far,Yes,670000
Abuja,3,2,No,12,Medium,Non-Estate,Near,No,755000
Benin,4,4,Yes,4,Medium,Estate,Near,Yes,515000
Ibadan,1,1,No,20,Medium,Estate,Far,No,200000
Ilorin,2,2,No,20,Low,Non-Estate,Far,No,195000
Lagos,3,2,No,4,Low,Non-Estate,Near,Yes,580000
Ibadan,2,2,No,8,Medium,Non-Estate,Near,Yes,225000
Benin,2,1,Yes,12,Medium,Non-Estate,Far,Yes,270000
Lagos,3,3,No,4,Medium,Estate,Far,Yes,655000
Lagos,4,2,No,8,High,Estate,Near,Yes,830000
Ibadan,4,3,No,8,High,Non-Estate,Far,No,375000
Port Harcourt,3,3,No,20,Low,Estate,Near,Yes,785000
Ibadan,3,2,No,20,Medium,Non-Estate,Far,Yes,385000
Lagos,2,1,No,12,Medium,Non-Estate,Near,No,475000
Ibadan,3,2,No,12,High,Non-Estate,Far,Yes,340000
Lagos,2,2,Yes,20,High,Non-Estate,Far,Yes,890000
Lagos,2,1,No,20,Low,Estate,Near,No,575000
Lagos,3,2,No,24,Low,Non-Estate,Far,No,715000
Ibadan,3,2,No,4,Medium,Non-Estate,Near,Yes,270000
Port Harcourt,2,1,Yes,4,Medium,Non-Estate,Near,Yes,415000
Abuja,4,4,No,16,Medium,Non-Estate,Near,Yes,1030000
Abuja,1,1,Yes,12,Low,Non-Estate,Far,Yes,415000
Benin,2,1,No,0,Medium,Non-Estate,Near,Yes,135000
Abuja,1,1,No,4,Medium,Estate,Far,No,295000
Ibadan,3,2,No,20,Low,Non-Estate,Far,No,320000
Abuja,3,3,No,20,Low,Estate,Near,Yes,1120000
Abuja,2,1,Yes,8,Medium,Estate,Near,No,745000
Abuja,3,3,Yes,20,Medium,Estate,Far,Yes,1385000
Abuja,2,1,No,12,Medium,Estate,Far,Yes,600000
Ibadan,3,3,Yes,16,Low,Estate,Near,No,460000
Abuja,2,1,No,12,Low,Non-Estate,Near,No,585000
Lagos,2,1,Yes,4,Medium,Estate,Near,Yes,515000
Benin,4,3,No,12,Medium,Non-Estate,Near,Yes,395000
Abuja,2,1,No,12,Low,Estate,Near,No,665000
Abuja,1,1,No,12,Medium,Non-Estate,Near,Yes,435000
Benin,3,2,No,4,Low,Estate,Near,Yes,235000
Port Harcourt,5,4,No,24,Low,Estate,Near,Yes,1185000
Lagos,2,1,No,8,Low,Estate,Far,No,370000
Benin,1,1,No,4,Low,Non-Estate,Far,Yes,115000
Port Harcourt,2,1,No,12,Medium,Non-Estate,Near,No,390000
Abuja,3,2,No,12,Medium,Estate,Far,Yes,880000
Lagos,2,1,Yes,12,High,Estate,Near,Yes,695000
Ibadan,3,3,No,16,Low,Estate,Far,No,435000
Port Harcourt,5,3,Yes,12,Low,Non-Estate,Far,Yes,975000
Abuja,2,2,No,12,Medium,Non-Estate,Far,Yes,500000
Benin,2,2,No,16,High,Estate,Near,Yes,315000
Ibadan,2,1,Yes,0,Medium,Estate,Near,Yes,265000
Lagos,1,1,Yes,12,Medium,Non-Estate,Near,No,430000
Abuja,4,2,Yes,20,Medium,Estate,Near,Yes,1435000
Lagos,2,1,No,0,Low,Non-Estate,Near,No,275000
Ibadan,2,2,No,12,High,Estate,Near,No,370000
Lagos,3,3,No,20,Medium,Non-Estate,Far,Yes,720000
Port Harcourt,2,1,No,8,High,Non-Estate,Near,Yes,365000
Ibadan,3,2,No,12,Medium,Non-Estate,Near,Yes,385000
Benin,1,1,Yes,24,Medium,Non-Estate,Near,Yes,260000
Abuja,4,2,No,4,Low,Non-Estate,Near,No,705000
Ibadan,4,3,Yes,4,Medium,Non-Estate,Far,Yes,415000
Lagos,3,2,Yes,20,Low,Estate,Near,No,1080000
Ibadan,5,4,Yes,20,Medium,Non-Estate,Near,Yes,875000
Lagos,2,1,No,12,Medium,Non-Estate,Near,Yes,565000
Abuja,2,1,Yes,12,High,Non-Estate,Far,Yes,685000
Ibadan,3,2,Yes,16,Medium,Estate,Near,Yes,505000
Lagos,3,2,Yes,16,Medium,Non-Estate,Far,No,710000
Lagos,2,1,Yes,8,Low,Non-Estate,Near,No,530000
Ibadan,2,2,No,0,Medium,Non-Estate,Far,Yes,180000
Ibadan,1,1,No,12,Low,Estate,Near,No,170000
Port Harcourt,2,1,No,20,Medium,Estate,Near,No,500000
Port Harcourt,2,1,Yes,20,High,Estate,Near,No,670000
Abuja,3,2,Yes,24,Medium,Non-Estate,Near,No,1135000
Lagos,2,2,No,20,Low,Non-Estate,Near,No,655000
Abuja,1,1,Yes,12,Medium,Non-Estate,Near,Yes,545000
Lagos,3,3,No,12,High,Non-Estate,Near,Yes,705000
Benin,3,2,Yes,16,Medium,Non-Estate,Near,Yes,370000
Port Harcourt,4,3,No,16,Low,Non-Estate,Far,No,555000
Abuja,3,3,Yes,12,High,Non-Estate,Far,No,1110000
Abuja,2,1,No,4,High,Non-Estate,Near,No,490000
Benin,4,3,No,20,Low,Non-Estate,Near,No,470000
Lagos,3,2,No,12,High,Non-Estate,Near,Yes,830000
Port Harcourt,1,1,Yes,8,Medium,Estate,Near,No,355000
Abuja,3,2,No,12,Medium,Estate,Far,No,855000
Port Harcourt,4,3,No,16,Medium,Non-Estate,Far,No,725000
Lagos,2,2,Yes,8,High,Non-Estate,Near,No,600000
Benin,2,1,Yes,16,Medium,Non-Estate,Near,Yes,295000
Benin,1,1,No,8,Low,Estate,Far,Yes,145000
Port Harcourt,2,1,Yes,4,High,Non-Estate,Near,No,425000
Port Harcourt,2,1,No,12,Low,Non-Estate,Near,Yes,340000
Benin,3,2,Yes,16,Medium,Non-Estate,Far,Yes,340000
Ibadan,1,1,No,24,Medium,Non-Estate,Near,Yes,225000
Lagos,4,2,Yes,16,Low,Non-Estate,Near,Yes,920000
Port Harcourt,3,3,No,20,Low,Non-Estate,Far,No,655000
Port Harcourt,3,2,Yes,4,High,Non-Estate,Near,No,620000
Abuja,4,2,Yes,4,Medium,Estate,Far,No,1005000
Ibadan,1,1,Yes,12,Medium,Estate,Near,Yes,270000
Benin,2,2,No,8,Medium,Estate,Far,No,220000
Benin,3,3,Yes,16,Medium,Estate,Far,No,495000
Abuja,4,2,No,16,Medium,Estate,Near,No,1095000
Lagos,3,2,Yes,24,Medium,Estate,Far,No,1185000
Ilorin,2,1,Yes,8,Medium,Estate,Far,No,185000
Ibadan,4,2,No,12,High,Estate,Near,Yes,615000
Lagos,1,1,No,12,Medium,Estate,Far,Yes,425000
Benin,4,3,No,8,Low,Estate,Far,No,365000
Benin,5,3,No,12,High,Non-Estate,Near,No,410000
Abuja,2,1,No,12,High,Non-Estate,Near,No,580000
Port Harcourt,3,2,No,12,Low,Estate,Near,Yes,530000
Abuja,1,1,No,8,High,Non-Estate,Near,No,400000
Lagos,2,2,No,0,Medium,Non-Estate,Near,Yes,370000
Abuja,3,2,No,12,Low,Non-Estate,Near,Yes,685000
Ibadan,3,2,No,8,Low,Estate,Near,Yes,365000
Lagos,4,3,No,0,Medium,Non-Estate,Near,No,545000
Abuja,3,2,Yes,8,High,Estate,Near,Yes,1265000
Abuja,2,2,Yes,8,Low,Estate,Near,No,645000
Abuja,4,3,No,8,Medium,Estate,Near,Yes,1000000
Benin,5,4,Yes,4,Medium,Estate,Far,No,495000
Abuja,1,1,No,12,Medium,Non-Estate,Near,No,405000
Abuja,5,3,Yes,16,Low,Non-Estate,Near,No,1285000
Ibadan,1,1,No,12,Low,Non-Estate,Near,Yes,195000
Abuja,4,2,Yes,16,Medium,Estate,Near,Yes,1530000
Lagos,2,1,No,12,High,Estate,Near,No,690000
Abuja,1,1,Yes,12,Medium,Estate,Far,Yes,610000
Lagos,2,1,No,16,Medium,Estate,Near,Yes,635000
Lagos,3,3,No,12,Medium,Non-Estate,Far,Yes,750000
Abuja,2,1,Yes,16,Medium,Non-Estate,Near,No,820000
Abuja,1,1,No,12,High,Non-Estate,Near,Yes,535000
Benin,3,3,Yes,12,High,Non-Estate,Far,Yes,455000
Abuja,4,3,Yes,16,Low,Non-Estate,Far,No,1270000
Port Harcourt,2,1,No,4,Medium,Estate,Far,Yes,335000
Port Harcourt,2,2,No,8,Medium,Non-Estate,Far,Yes,325000
Lagos,2,1,No,8,Medium,Non-Estate,Near,Yes,500000
Port Harcourt,1,1,Yes,8,Medium,Non-Estate,Far,No,305000
Lagos,4,2,No,8,High,Non-Estate,Near,Yes,790000
Ilorin,4,3,No,12,High,Estate,Far,No,330000
Lagos,3,3,No,16,Medium,Non-Estate,Near,No,800000
Abuja,2,1,No,16,High,Non-Estate,Near,Yes,705000
Lagos,3,3,No,8,High,Non-Estate,Far,No,575000
Ilorin,3,2,Yes,24,High,Non-Estate,Near,Yes,385000
Abuja,4,2,Yes,12,High,Estate,Near,Yes,1655000
Port Harcourt,3,2,No,8,Medium,Non-Estate,Near,No,440000
Lagos,3,2,No,16,Medium,Estate,Far,No,755000
Ibadan,3,3,Yes,16,High,Estate,Far,Yes,670000
Lagos,2,2,Yes,16,High,Non-Estate,Far,Yes,830000
Benin,5,3,No,4,High,Estate,Far,Yes,390000
Lagos,3,2,No,12,Low,Non-Estate,Near,Yes,565000
